date,close,daily_return,temperature,humidity,cloud_cover,wind_speed,good_weather,bad_weather
2025-11-04,675.24,-1.185354289,10.9,48,4,23.1,1,0
2025-11-03,683.34,0.187666774,10.1,79,76,16.3,0,1
2025-10-31,682.06,0.328023182,11.9,67,38,27.4,0,0
2025-10-30,679.83,-1.099812334,13.8,91,98,26.5,0,1
2025-10-29,687.39,0.04803074,10.4,68,75,16.7,0,1
2025-10-28,687.06,0.265600374,8.7,66,64,21.7,0,0
2025-10-27,685.24,1.179771133,8.0,64,2,11.7,1,0
2025-10-24,677.25,0.817256163,10.2,67,19,11.9,1,0
2025-10-23,671.76,0.592991914,11.4,62,14,18.1,1,0
2025-10-22,667.8,-0.519894531,13.7,70,51,21.1,1,0
2025-10-21,671.29,-0.001489647,13.5,65,19,12.7,1,0
2025-10-20,671.3,1.040051777,15.8,72,62,23.9,0,0
2025-10-17,664.39,0.567631388,11.2,53,16,15.0,1,0
2025-10-16,660.64,-0.68102891,10.8,52,2,17.5,1,0
2025-10-15,665.17,0.443954517,15.5,74,65,13.4,0,0
2025-10-14,662.23,-0.122164575,13.9,81,100,19.0,0,1
2025-10-13,663.04,1.53440936,13.7,89,100,28.6,0,1
2025-10-10,653.02,-2.702783241,10.9,67,18,11.4,1,0
2025-10-09,671.16,-0.289700049,12.1,55,0,14.9,1,0
2025-10-08,673.11,0.596305595,19.2,69,57,17.4,1,0
2025-10-07,669.12,-0.370750882,21.9,68,51,19.2,1,0
2025-10-06,671.61,0.35863182,20.3,68,6,12.8,1,0
2025-10-03,669.21,-0.001494277,15.5,67,34,8.9,1,0
2025-10-02,669.22,0.115191862,14.2,60,34,8.7,1,0
2025-10-01,668.45,0.340748747,16.3,52,13,14.4,1,0
2025-09-30,666.18,0.37668756,20.5,67,98,14.1,0,1
2025-09-29,663.68,0.281043184,20.6,72,96,10.7,0,1
2025-09-26,661.82,0.572904794,22.3,77,60,8.7,0,0
2025-09-25,658.05,-0.461352292,22.0,93,97,15.7,0,1
2025-09-24,661.1,-0.318149606,21.9,88,89,16.9,0,1
2025-09-23,663.21,-0.544358467,22.6,74,67,14.9,0,0
2025-09-22,666.84,0.473105319,17.4,74,45,11.2,1,0
2025-09-19,663.7,0.21743726,22.6,63,2,11.1,0,0
2025-09-18,662.26,0.467247186,22.2,72,32,7.7,0,0
2025-09-17,659.18,-0.124242424,19.2,75,91,14.4,0,1
2025-09-16,660.0,-0.137688944,20.4,61,92,17.0,0,1
2025-09-15,660.91,0.532392267,22.3,67,71,12.1,0,1
2025-09-12,657.41,-0.033453462,21.0,59,35,11.4,1,0
2025-09-11,657.63,0.831020684,21.1,57,10,13.6,1,0
2025-09-10,652.21,0.289084004,17.8,77,84,13.8,0,1
2025-09-09,650.33,0.231185364,17.6,71,23,12.8,1,0
2025-09-08,648.83,0.245658488,17.6,64,12,9.2,1,0
2025-09-05,647.24,-0.289622874,23.4,75,35,15.7,0,0
2025-09-04,649.12,0.835741138,20.9,74,34,20.4,1,0
2025-09-03,643.74,0.541958861,20.5,66,7,13.8,1,0
2025-09-02,640.27,-0.741027827,21.0,60,16,13.9,1,0
2025-08-29,645.05,-0.596375516,22.4,50,46,16.0,0,0
2025-08-28,648.92,0.354143792,21.4,48,73,14.1,0,1
2025-08-27,646.63,0.227850456,20.7,49,20,15.6,1,0
2025-08-26,645.16,0.418696593,22.9,42,28,16.6,0,0
2025-08-25,642.47,-0.440098557,24.9,59,32,19.4,0,0
2025-08-22,645.31,1.535677759,20.9,58,0,13.3,1,0
2025-08-21,635.55,-0.401184749,18.3,77,80,22.6,0,1
2025-08-20,638.11,-0.265703881,19.9,74,89,15.1,0,1
2025-08-19,639.81,-0.542515156,20.9,58,57,13.1,1,0
2025-08-18,643.3,-0.02175805,21.3,65,68,16.8,0,0
2025-08-15,643.44,-0.234126676,26.5,65,10,13.1,0,0
2025-08-14,644.95,0.009303912,26.4,79,64,6.5,0,0
2025-08-13,644.89,0.342311223,27.1,74,54,13.3,0,0
2025-08-12,642.69,1.064599321,26.9,62,12,14.1,0,0
2025-08-11,635.92,-0.19774632,26.3,50,14,12.7,0,0
2025-08-08,637.18,0.779754844,22.3,56,2,12.8,0,0
2025-08-07,632.25,-0.083757388,23.0,62,25,13.8,0,0
2025-08-06,632.78,0.765960157,23.7,66,100,13.0,0,1
2025-08-05,627.97,-0.506994946,24.9,64,91,9.7,0,1
2025-08-04,631.17,1.519976838,24.5,58,15,14.6,0,0
2025-08-01,621.72,-1.639033034,20.1,80,93,16.1,0,1
2025-07-31,632.08,-0.375122151,26.3,78,73,15.7,0,1
2025-07-30,634.46,-0.125932689,31.0,57,52,14.7,0,1
2025-07-29,635.26,-0.263761108,32.1,53,34,9.6,0,1
2025-07-28,636.94,-0.025113797,29.8,59,4,11.9,0,0
2025-07-25,637.1,0.422433088,29.5,63,38,22.7,0,0
2025-07-24,634.42,0.033112061,26.3,57,77,14.0,0,1
2025-07-23,634.21,0.850745794,24.3,58,58,13.2,0,0
2025-07-22,628.86,0.01431366,23.8,48,35,14.0,0,0
2025-07-21,628.77,0.18961726,26.9,50,13,19.2,0,0
2025-07-18,627.58,-0.073243742,26.2,54,64,15.0,0,0
2025-07-17,628.04,0.611963731,28.2,76,65,18.6,0,0
2025-07-16,624.22,0.334329894,26.8,83,46,11.6,0,0
2025-07-15,622.14,-0.427329908,25.7,86,48,8.7,0,0
2025-07-14,624.81,0.190821334,26.0,82,86,13.7,0,1
2025-07-11,623.62,-0.351538781,25.1,81,40,12.1,0,0
2025-07-10,625.82,0.282024164,24.6,81,98,6.6,0,1
2025-07-09,624.06,0.599671148,27.5,72,41,9.5,0,0
2025-07-08,620.34,-0.05477863,28.3,74,53,14.6,0,0
2025-07-07,620.68,-0.745194614,27.5,75,60,16.3,0,0
2025-07-03,625.34,0.788137642,25.9,66,23,18.0,0,0
2025-07-02,620.45,0.453331175,25.4,81,85,7.5,0,1
2025-07-01,617.65,-0.032370316,27.2,77,97,17.7,0,1
2025-06-30,617.85,0.478118749,28.6,56,69,16.5,0,0
2025-06-27,614.91,0.496837564,20.2,63,72,13.5,0,1
2025-06-26,611.87,0.782382396,26.0,60,58,17.3,0,0
2025-06-25,607.12,0.056033488,33.5,45,32,15.9,0,1
2025-06-24,606.78,1.104723819,34.8,40,7,17.6,0,1
2025-06-23,600.15,0.987749882,32.8,58,52,7.1,0,1
2025-06-20,594.28,-0.528923407,23.9,61,32,17.8,0,0
2025-06-18,597.44,-0.015062005,21.9,91,99,12.1,0,1
2025-06-17,597.53,-0.854516493,19.0,90,100,10.8,0,1
2025-06-16,602.68,0.951423786,18.0,85,100,12.1,0,1
2025-06-13,597.0,-1.118012422,24.3,41,99,12.5,0,1
2025-06-12,603.75,0.397432486,27.0,48,43,16.4,0,0
2025-06-11,601.36,-0.285202627,23.7,57,12,18.7,0,0
2025-06-10,603.08,0.56696905,20.4,84,89,12.5,0,1
2025-06-09,599.68,0.090129185,18.1,86,100,10.5,0,1
2025-06-06,599.14,1.026894866,26.9,59,71,13.8,0,1
2025-06-05,593.05,-0.483278237,27.4,54,74,16.2,0,1
2025-06-04,595.93,-0.026841584,22.4,53,34,14.2,0,0
2025-06-03,596.09,0.570262017,19.3,53,4,10.8,1,0
2025-06-02,592.71,0.563294253,16.1,61,26,12.3,1,0
2025-05-30,589.39,-0.111854928,19.1,85,94,11.8,0,1
2025-05-29,590.05,0.394739081,17.2,83,100,12.2,0,1
2025-05-28,587.73,-0.578533367,15.7,64,100,11.6,0,1
2025-05-27,591.15,2.079052339,18.6,56,95,14.7,0,1
